restaurant_id,inspection_date,result,inspector_id,cuisine_type,seating_capacity,ownership_type,county,days_since_last_inspection,prior_critical_count,renovation_disclosed,complaint_text,neighborhood_median_income
R0022,2024-06-09,minor,I008,American,80,chain,Peoria,558,0,,no complaints filed in past 90 days,48864
R0023,2024-02-05,pass,I077,Mexican,48,independent,Sangamon,247,0,,,45220
R0024,2024-09-24,pass,I041,Mediterranean,35,independent,McHenry,377,1,,manager certificate expired (renewing),84028
R0025,2024-02-07,pass,I002,Bakery,27,independent,DuPage,205,0,,,75723
R0026,2024-05-05,pass,I048,Mediterranean,83,independent,Winnebago,505,0,,no complaints filed in past 90 days,32334
R0027,2024-01-05,pass,I086,Cafe,44,independent,Will,617,0,Yes,minor signage issue noted on previous visit,57804
R0028,2024-04-14,pass,I088,Mediterranean,107,chain,Will,653,0,,,38150
R0029,2024-01-02,pass,I043,Asian,42,chain,Peoria,258,1,,no complaints filed in past 90 days,102433
R0030,2024-03-17,pass,I070,American,114,chain,Sangamon,184,0,,,54443
R0031,2024-01-21,minor,I046,Pizza,38,chain,Peoria,122,2,,,52743
R0032,2024-03-24,pass,I023,Seafood,46,independent,Kane,351,2,,,42301
R0033,2024-05-07,pass,I035,Asian,63,independent,Winnebago,281,0,,minor signage issue noted on previous visit,43806
R0034,2024-04-26,pass,I029,American,67,independent,Kendall,195,3,,routine check; nothing unusual reported,100764
R0035,2024-07-23,pass,I087,Cafe,55,chain,Kane,402,0,,,90790
R0036,2024-06-09,pass,I056,Cafe,71,independent,Kendall,459,0,,routine check; nothing unusual reported,53567
R0037,2024-10-02,pass,I088,Pizza,51,chain,Sangamon,416,0,,manager certificate expired (renewing),58487
R0038,2024-07-28,pass,I042,Seafood,30,chain,Peoria,496,2,,routine check; nothing unusual reported,78480
R0039,2024-11-11,pass,I073,Mediterranean,8,chain,Will,554,0,,,46792
R0040,2024-12-11,minor,I028,Cafe,40,chain,Kane,285,1,,,46893
R0041,2024-04-30,pass,I087,Mediterranean,63,independent,Cook,483,0,,minor signage issue noted on previous visit,67017
R0042,2024-11-18,pass,I074,Pizza,48,chain,Winnebago,282,1,,no complaints filed in past 90 days,69329
R0043,2024-02-24,critical,I055,Pizza,99,chain,Cook,769,0,,thermometer missing in reach-in cooler,70510
R0044,2024-09-28,pass,I072,BBQ,72,chain,Sangamon,515,0,,no complaints filed in past 90 days,28000
R0045,2024-03-22,pass,I061,Bakery,58,chain,Peoria,500,0,,,29665
R0046,2024-06-20,pass,I041,Cafe,80,independent,Kane,468,0,,no complaints filed in past 90 days,79558
R0047,2024-06-18,pass,I070,Bakery,39,chain,Kendall,426,2,,,47443
R0048,2024-07-13,minor,I062,American,8,chain,Will,372,3,,manager certificate expired (renewing),28000
R0049,2024-10-06,pass,I078,Pizza,32,chain,Cook,375,0,,manager certificate expired (renewing),72518
R0050,2024-03-06,pass,I080,Cafe,8,independent,Kendall,142,0,,,44288
R0051,2024-04-03,pass,I007,Mediterranean,42,chain,McHenry,450,1,,manager certificate expired (renewing),62524
R0052,2024-02-11,pass,I061,American,8,independent,McHenry,375,3,Yes,minor signage issue noted on previous visit,70186
R0053,2024-04-12,critical,I003,Asian,62,independent,Sangamon,568,2,,improper handwashing observed,61172
R0054,2024-02-28,minor,I021,Mediterranean,93,independent,Sangamon,518,1,,,65056
R0055,2024-04-11,pass,I010,Pizza,108,independent,Sangamon,550,1,,routine check; nothing unusual reported,42938
R0056,2024-06-23,pass,I002,Seafood,74,chain,DuPage,208,2,,minor signage issue noted on previous visit,70463
R0057,2024-03-31,pass,I067,Mediterranean,8,chain,Winnebago,95,0,,,57042
R0058,2024-02-14,pass,I036,Bakery,127,independent,Winnebago,122,0,,minor signage issue noted on previous visit,48114
R0059,2024-09-06,minor,I028,BBQ,69,chain,Peoria,208,0,,,92148
R0060,2024-05-03,minor,I061,Bakery,88,chain,Cook,471,1,,,70594
R0061,2024-08-30,critical,I071,Cafe,8,chain,McHenry,870,1,,,61901
R0062,2024-03-02,pass,I069,Asian,77,independent,Lake,354,0,,minor signage issue noted on previous visit,44345
R0063,2024-02-21,minor,I025,Mediterranean,63,independent,Peoria,477,0,Yes,,29877
R0064,2024-09-08,pass,I014,American,42,chain,Winnebago,202,3,,,64677
R0065,2024-02-28,pass,I009,Seafood,14,independent,Kane,377,0,,,38678
R0066,2024-08-01,pass,I078,Pizza,165,chain,Winnebago,491,0,,manager certificate expired (renewing),51950
R0067,2024-01-31,pass,I079,Mexican,82,independent,Will,325,1,Yes,manager certificate expired (renewing),49841
R0068,2024-12-18,pass,I077,Bakery,53,chain,Cook,397,1,,,96236
R0069,2024-05-15,pass,I081,Pizza,20,independent,Will,467,1,Yes,manager certificate expired (renewing),69828
R0070,2024-05-27,pass,I057,Mexican,14,chain,Will,231,0,,minor signage issue noted on previous visit,28000
R0071,2024-01-21,pass,I056,BBQ,53,independent,Sangamon,340,0,No,no complaints filed in past 90 days,28866
R0072,2024-09-22,pass,I084,Bakery,32,chain,Kane,557,1,,,61548
R0073,2024-07-28,pass,I043,BBQ,26,chain,Kendall,60,1,,,99955
R0074,2024-08-20,pass,I012,BBQ,38,chain,McHenry,596,2,,manager certificate expired (renewing),87201
R0075,2024-10-04,pass,I060,Seafood,99,chain,Winnebago,437,1,,,28000
R0076,2024-12-23,pass,I063,Mexican,35,independent,Sangamon,451,0,No,no complaints filed in past 90 days,29042
R0077,2024-02-28,pass,I060,Mexican,47,chain,Peoria,281,1,,,37278
R0078,2024-03-15,pass,I050,Pizza,64,independent,DuPage,312,0,,,100340
R0079,2024-01-02,pass,I037,Mediterranean,84,chain,Kane,162,0,,,43519
R0080,2024-06-13,minor,I025,Pizza,111,chain,Lake,479,0,,,44209
R0081,2024-07-14,pass,I050,Asian,50,chain,DuPage,366,2,,,38012
R0082,2024-07-28,pass,I084,Asian,53,independent,Winnebago,392,0,,,45073
R0083,2024-06-17,pass,I087,Cafe,37,chain,Peoria,472,0,No,,98457
R0084,2024-02-20,minor,I082,Mexican,59,chain,Kane,230,0,,,28000
R0085,2024-07-10,minor,I056,Asian,61,independent,Kane,550,0,,manager certificate expired (renewing),37323
R0086,2024-10-25,pass,I019,Pizza,95,chain,Will,106,2,,,70197
R0087,2024-10-06,pass,I021,Mexican,29,chain,Kendall,424,1,,no complaints filed in past 90 days,34820
R0088,2024-02-24,pass,I031,Seafood,187,chain,Sangamon,285,0,,,94697
R0089,2024-01-05,pass,I073,American,108,chain,Lake,206,0,,routine check; nothing unusual reported,41971
R0090,2024-12-03,pass,I088,Asian,23,independent,Cook,294,0,,routine check; nothing unusual reported,84113
R0091,2024-05-31,pass,I042,Seafood,68,chain,Peoria,450,0,,no complaints filed in past 90 days,86929
R0092,2024-05-31,critical,I044,Mexican,126,chain,DuPage,662,1,,thermometer missing in reach-in cooler,106352
R0093,2024-10-12,pass,I047,Mexican,61,independent,Winnebago,335,0,,,60355
R0094,2024-07-09,pass,I014,Pizza,94,chain,Cook,60,0,,manager certificate expired (renewing),28000
R0095,2024-11-21,pass,I060,Mediterranean,49,independent,Cook,292,0,,,99657
R0096,2024-08-20,pass,I048,Cafe,101,chain,Sangamon,359,0,No,minor signage issue noted on previous visit,49268
R0097,2024-05-23,minor,I005,BBQ,67,independent,McHenry,556,0,,,28000
R0098,2024-07-22,pass,I036,Pizza,33,independent,Winnebago,469,1,,,70274
R0099,2024-06-19,pass,I032,Asian,65,independent,Sangamon,246,0,,routine check; nothing unusual reported,56110
R0100,2024-01-02,minor,I036,Asian,77,independent,Peoria,364,1,Yes,manager certificate expired (renewing),75624
R0101,2024-05-01,pass,I076,BBQ,87,independent,Kendall,378,0,,,28000
R0102,2024-02-25,critical,I058,Cafe,69,independent,Sangamon,668,2,,soap dispensers empty in employee bathroom,72352
R0103,2024-01-16,pass,I008,Bakery,81,independent,Winnebago,209,1,,,77641
R0104,2024-03-05,minor,I036,Cafe,41,chain,Kendall,586,0,,manager certificate expired (renewing),61086
R0105,2024-12-25,minor,I015,Cafe,55,chain,Lake,241,0,,,33381
R0106,2024-06-09,minor,I086,Mediterranean,93,chain,Kane,286,0,No,,38992
R0107,2024-07-09,pass,I017,Cafe,141,chain,DuPage,530,0,,minor signage issue noted on previous visit,83509
R0108,2024-01-27,pass,I037,Mediterranean,46,chain,DuPage,255,1,,routine check; nothing unusual reported,54844
R0109,2024-10-11,pass,I048,Mexican,63,chain,Peoria,130,3,,no complaints filed in past 90 days,38137
R0110,2024-12-02,pass,I035,American,27,independent,Will,319,0,Yes,,43914
R0111,2024-07-24,minor,I009,Asian,54,independent,Peoria,60,0,,,50566
R0112,2024-10-17,pass,I077,Mexican,88,independent,Kane,502,1,,,87494
R0113,2024-09-05,pass,I078,Bakery,39,independent,McHenry,429,0,,,50964
R0114,2024-01-24,minor,I029,Seafood,23,independent,Cook,487,1,,,112880
R0115,2024-03-02,pass,I001,Bakery,59,chain,Peoria,253,1,,manager certificate expired (renewing),81932
R0116,2024-01-22,pass,I056,American,8,chain,DuPage,517,0,,,40046
R0117,2024-02-28,pass,I052,American,81,chain,McHenry,341,0,,routine check; nothing unusual reported,63231
R0118,2024-07-21,pass,I040,BBQ,106,independent,McHenry,378,1,,minor signage issue noted on previous visit,53376
R0119,2024-06-27,pass,I045,Asian,61,independent,Kane,465,0,,,54314
R0120,2024-09-09,minor,I060,Bakery,41,chain,McHenry,404,0,,manager certificate expired (renewing),68723
R0121,2024-01-29,pass,I046,Cafe,94,independent,Cook,455,0,,manager certificate expired (renewing),28000
R0122,2024-10-31,pass,I065,Seafood,8,chain,Sangamon,64,2,,minor signage issue noted on previous visit,48955
R0123,2024-11-29,pass,I025,BBQ,27,independent,Winnebago,234,0,,,42709
R0124,2024-03-29,pass,I006,Pizza,106,chain,Winnebago,120,0,,minor signage issue noted on previous visit,57452
R0125,2024-06-22,pass,I087,American,72,independent,McHenry,112,0,,,54486
R0126,2024-11-04,pass,I020,BBQ,114,independent,Sangamon,157,0,,,28000
R0127,2024-03-07,pass,I077,Mexican,47,chain,Kane,527,1,,,59642
R0128,2024-11-26,minor,I086,Seafood,8,chain,Cook,291,0,,minor signage issue noted on previous visit,72542
R0129,2024-04-25,pass,I018,Asian,119,independent,Peoria,526,1,,manager certificate expired (renewing),66544
R0130,2024-11-12,pass,I017,Seafood,53,independent,Kane,481,0,,,92661
R0131,2024-01-23,pass,I053,BBQ,48,chain,Sangamon,246,0,,,36200
R0132,2024-08-28,pass,I025,BBQ,73,chain,Winnebago,403,0,,,28000
R0133,2024-04-12,pass,I078,Asian,68,chain,McHenry,322,0,Yes,manager certificate expired (renewing),53840
R0134,2024-09-19,pass,I019,Seafood,117,independent,Lake,517,2,,,28000
R0135,2024-07-10,pass,I031,Seafood,93,independent,McHenry,358,2,,no complaints filed in past 90 days,39098
R0136,2024-05-26,pass,I061,Asian,9,chain,Winnebago,72,0,,,30293
R0137,2024-11-07,pass,I068,Seafood,82,chain,DuPage,460,0,,,68622
R0138,2024-09-12,pass,I077,Cafe,22,independent,Peoria,109,0,No,,46086
R0139,2024-08-01,pass,I024,Mexican,27,independent,Kendall,339,2,No,no complaints filed in past 90 days,78709
R0140,2024-02-04,minor,I045,Pizza,56,independent,Sangamon,349,0,,,42304
R0141,2024-03-30,pass,I088,Bakery,99,independent,Kane,340,0,,,44307
R0142,2024-04-12,pass,I006,BBQ,67,chain,Peoria,99,0,Yes,,86134
R0143,2024-01-25,critical,I084,BBQ,50,chain,Kendall,684,1,,routine check; nothing unusual reported,28000
R0144,2024-09-11,pass,I048,Cafe,121,chain,DuPage,354,0,,,53171
R0145,2024-06-13,minor,I014,Mexican,46,chain,Sangamon,497,1,No,,58144
R0146,2024-06-29,pass,I079,Seafood,68,chain,Cook,593,0,,manager certificate expired (renewing),76235
R0147,2024-01-16,pass,I019,Bakery,72,chain,McHenry,379,0,,,35803
R0148,2024-07-09,pass,I057,Mexican,27,independent,Peoria,260,0,,,76182
R0149,2024-04-05,pass,I064,Cafe,25,chain,Will,515,1,,minor signage issue noted on previous visit,36169
R0150,2024-04-12,critical,I016,Asian,25,independent,Winnebago,497,5,,refrigerator temperature too high; reading 52F,92752
R0151,2024-06-12,pass,I086,BBQ,48,chain,Will,144,1,,no complaints filed in past 90 days,90137
R0152,2024-09-17,pass,I029,Mexican,38,independent,Kane,382,0,,,87590
R0153,2024-10-09,minor,I017,Mexican,92,chain,Peoria,437,0,,manager certificate expired (renewing),51852
R0154,2024-02-07,minor,I058,Bakery,51,chain,Kane,590,1,Yes,no complaints filed in past 90 days,35426
R0155,2024-01-29,pass,I016,Cafe,72,chain,Lake,453,0,,routine check; nothing unusual reported,95609
R0156,2024-11-21,pass,I071,Mediterranean,18,independent,Will,305,1,,routine check; nothing unusual reported,55582
R0157,2024-03-28,pass,I085,BBQ,84,independent,DuPage,171,0,,no complaints filed in past 90 days,33715
R0158,2024-08-01,minor,I080,American,36,chain,Peoria,253,0,,no complaints filed in past 90 days,115414
R0159,2024-06-01,minor,I059,Mexican,52,chain,Winnebago,267,0,,,89099
R0160,2024-06-25,pass,I052,Asian,114,chain,Peoria,218,0,,,54713
R0161,2024-02-19,pass,I007,Mediterranean,125,chain,Lake,243,3,,,81906
R0162,2024-04-07,pass,I021,Bakery,8,chain,Winnebago,518,0,,,44226
R0163,2024-05-03,pass,I028,BBQ,87,chain,Will,409,0,,no complaints filed in past 90 days,28000
R0164,2024-07-25,pass,I047,American,90,chain,Cook,257,0,No,minor signage issue noted on previous visit,55813
R0165,2024-05-23,pass,I080,Mexican,70,chain,McHenry,423,0,,,80423
R0166,2024-01-21,pass,I006,American,97,independent,McHenry,437,0,,,36886
R0167,2024-11-09,pass,I041,Asian,22,chain,Sangamon,520,0,,minor signage issue noted on previous visit,28155
R0168,2024-01-09,pass,I048,BBQ,48,independent,Kendall,87,1,,,42284
R0169,2024-08-30,pass,I034,Pizza,51,independent,Peoria,130,0,,routine check; nothing unusual reported,68743
R0170,2024-01-17,pass,I074,Mexican,43,independent,Cook,190,0,,no complaints filed in past 90 days,70297
R0171,2024-11-09,pass,I061,American,48,chain,Winnebago,155,0,,routine check; nothing unusual reported,84519
R0172,2024-06-30,pass,I087,Mediterranean,128,chain,Lake,505,0,,,57286
R0173,2024-05-27,pass,I027,Bakery,46,chain,Will,517,0,,,28000
R0174,2024-03-15,pass,I038,American,127,chain,DuPage,254,0,,routine check; nothing unusual reported,81550
R0175,2024-10-02,minor,I035,Cafe,53,independent,Lake,272,0,,no complaints filed in past 90 days,64438
R0176,2024-06-18,critical,I061,Mexican,85,independent,Cook,849,0,,found rodent droppings near prep area,48568
R0177,2024-08-31,pass,I062,Pizza,61,chain,Cook,216,2,Yes,routine check; nothing unusual reported,28000
R0178,2024-03-30,pass,I054,Asian,47,independent,Kendall,392,1,,routine check; nothing unusual reported,48272
R0179,2024-01-20,pass,I002,Mediterranean,44,chain,Will,329,0,,routine check; nothing unusual reported,28000
R0180,2024-09-15,minor,I060,Mediterranean,48,independent,DuPage,223,1,,no complaints filed in past 90 days,93172
R0181,2024-06-21,pass,I038,Pizza,91,chain,Kendall,681,0,Yes,minor signage issue noted on previous visit,66825
R0182,2024-05-07,pass,I001,Mediterranean,77,chain,Lake,231,0,,minor signage issue noted on previous visit,67695
R0183,2024-05-13,pass,I084,BBQ,55,independent,Winnebago,304,0,,no complaints filed in past 90 days,28000
R0184,2024-06-08,minor,I016,Mediterranean,58,chain,Sangamon,447,0,,,116338
R0185,2024-07-10,pass,I054,Cafe,110,independent,Lake,207,1,,,68249
R0186,2024-07-04,pass,I010,Mexican,18,independent,Peoria,464,0,No,manager certificate expired (renewing),53527
R0187,2024-04-15,pass,I075,Bakery,95,independent,Winnebago,481,0,,no complaints filed in past 90 days,36095
R0188,2024-06-06,minor,I003,Seafood,42,chain,Cook,358,0,,no complaints filed in past 90 days,33098
R0189,2024-01-31,pass,I009,Bakery,95,independent,Kendall,401,0,,routine check; nothing unusual reported,28000
R0190,2024-02-11,critical,I088,Cafe,84,independent,McHenry,780,0,Yes,no complaints filed in past 90 days,108903
R0191,2024-01-12,pass,I039,Bakery,39,chain,Lake,164,0,,minor signage issue noted on previous visit,53689
R0192,2024-02-27,pass,I005,Seafood,141,independent,Lake,387,0,,no complaints filed in past 90 days,71762
R0193,2024-01-25,pass,I032,American,39,independent,Cook,440,0,,,66869
R0194,2024-10-22,critical,I077,BBQ,137,independent,Will,738,0,,refrigerator temperature too high; reading 52F,28000
R0195,2024-10-12,pass,I076,Asian,34,chain,Cook,229,3,,manager certificate expired (renewing),43680
R0196,2024-08-01,pass,I053,Asian,8,chain,Kendall,455,0,,,87011
R0197,2024-03-14,pass,I060,American,8,independent,Kendall,184,0,,,31948
R0198,2024-02-17,pass,I069,Pizza,8,independent,Will,189,0,Yes,manager certificate expired (renewing),82911
R0199,2024-06-19,pass,I039,American,65,independent,Winnebago,478,2,,,55666
R0200,2024-06-13,pass,I037,Seafood,26,chain,Peoria,273,0,,,46804
R0201,2024-08-28,minor,I041,Pizza,35,independent,Kane,500,0,,minor signage issue noted on previous visit,31676
R0202,2024-04-10,minor,I043,Pizza,31,chain,Sangamon,470,1,,,39592
R0203,2024-09-07,pass,I083,Bakery,8,chain,Kane,436,0,,manager certificate expired (renewing),80586
R0204,2024-01-31,minor,I068,American,127,independent,Cook,381,1,,,39405
R0205,2024-01-05,pass,I028,Cafe,48,chain,Winnebago,382,0,,routine check; nothing unusual reported,58570
R0206,2024-10-01,pass,I037,American,63,chain,Kane,428,0,No,routine check; nothing unusual reported,68167
R0207,2024-05-16,pass,I051,Mexican,35,independent,Lake,496,0,,,121533
R0208,2024-01-17,pass,I012,Seafood,112,chain,Kendall,307,0,No,,59569
R0209,2024-11-26,minor,I043,Mexican,121,independent,Lake,117,2,,,46022
R0210,2024-12-16,pass,I036,Cafe,48,independent,Kane,506,3,,routine check; nothing unusual reported,53726
R0211,2024-12-30,minor,I051,Mexican,46,chain,Peoria,585,0,,manager certificate expired (renewing),103914
R0212,2024-09-13,pass,I045,American,140,independent,Kendall,373,0,,routine check; nothing unusual reported,70693
R0213,2024-06-16,pass,I004,Mediterranean,68,independent,McHenry,172,0,,minor signage issue noted on previous visit,73477
R0214,2024-11-12,pass,I038,Pizza,102,independent,DuPage,345,1,No,manager certificate expired (renewing),83374
R0215,2024-02-24,pass,I012,American,95,chain,DuPage,296,0,No,routine check; nothing unusual reported,37302
R0216,2024-02-15,pass,I046,Cafe,45,independent,Sangamon,234,0,,no complaints filed in past 90 days,50741
R0217,2024-02-13,pass,I072,Pizza,40,chain,Kane,317,0,,routine check; nothing unusual reported,54053
R0218,2024-08-03,pass,I039,Bakery,60,independent,McHenry,363,0,,,78554
R0219,2024-02-24,pass,I018,Mediterranean,95,chain,McHenry,372,0,,minor signage issue noted on previous visit,76230
R0220,2024-06-02,minor,I042,Pizza,14,chain,McHenry,444,0,,minor signage issue noted on previous visit,81920
R0221,2024-10-21,minor,I032,BBQ,14,chain,McHenry,597,0,,,38877
R0222,2024-10-08,pass,I004,Bakery,35,independent,Winnebago,465,0,,manager certificate expired (renewing),28000
R0223,2024-12-10,minor,I064,Asian,42,independent,Kendall,265,1,No,,38350
R0224,2024-12-20,pass,I054,Cafe,38,independent,McHenry,266,0,,manager certificate expired (renewing),28000
R0225,2024-05-07,critical,I085,BBQ,84,chain,McHenry,579,3,,improper handwashing observed,78986
R0226,2024-09-22,pass,I072,Pizza,61,chain,McHenry,124,0,,no complaints filed in past 90 days,85917
R0227,2024-01-13,critical,I062,Mexican,37,independent,DuPage,753,1,,found rodent droppings near prep area,50317
R0228,2024-09-23,pass,I062,BBQ,86,chain,DuPage,107,0,,,74874
R0229,2024-02-28,minor,I003,BBQ,28,independent,Lake,148,0,,no complaints filed in past 90 days,50699
R0230,2024-07-26,pass,I081,Asian,92,independent,Kendall,131,2,,,83945
R0231,2024-01-03,pass,I028,Pizza,50,independent,Sangamon,641,0,,manager certificate expired (renewing),69539
R0232,2024-05-14,pass,I086,Bakery,88,chain,Sangamon,227,0,,,76146
R0233,2024-03-29,pass,I087,Mediterranean,100,independent,McHenry,247,0,,minor signage issue noted on previous visit,75816
R0234,2024-08-02,pass,I077,Asian,109,chain,Kendall,465,1,,minor signage issue noted on previous visit,90743
R0235,2024-10-11,pass,I022,Bakery,54,chain,Sangamon,477,0,,no complaints filed in past 90 days,73899
R0236,2024-10-14,pass,I065,Bakery,61,chain,Winnebago,67,0,Yes,manager certificate expired (renewing),83292
R0237,2024-04-22,pass,I038,American,53,independent,Winnebago,585,0,,manager certificate expired (renewing),35703
R0238,2024-05-17,pass,I070,BBQ,61,independent,Winnebago,60,0,,,42874
R0239,2024-06-01,critical,I005,Bakery,54,independent,Winnebago,722,2,Yes,refrigerator temperature too high; reading 52F,70976
R0240,2024-12-29,minor,I079,Seafood,115,independent,Sangamon,443,0,No,,73487
R0241,2024-11-01,minor,I069,Asian,35,chain,Sangamon,616,0,,routine check; nothing unusual reported,95041
R0242,2024-07-29,pass,I008,Mediterranean,55,independent,Kane,365,1,,no complaints filed in past 90 days,96683
R0243,2024-09-07,pass,I019,Mediterranean,36,independent,DuPage,239,0,,minor signage issue noted on previous visit,46655
R0244,2024-09-06,pass,I042,American,8,independent,Winnebago,180,1,,no complaints filed in past 90 days,36510
R0245,2024-08-07,critical,I028,Bakery,52,chain,Peoria,700,0,,no complaints filed in past 90 days,41893
R0246,2024-01-25,minor,I006,Mexican,62,chain,Cook,617,0,No,,92569
R0247,2024-12-18,critical,I017,Mediterranean,104,chain,DuPage,716,1,,minor signage issue noted on previous visit,29011
R0248,2024-07-21,minor,I081,Mediterranean,114,independent,Kendall,207,0,,minor signage issue noted on previous visit,33560
R0249,2024-04-25,pass,I067,Bakery,113,independent,Kendall,381,1,,,63255
R0250,2024-02-22,pass,I041,BBQ,75,chain,Kane,120,2,,,89087
R0251,2024-02-05,pass,I068,American,43,chain,Lake,296,0,No,routine check; nothing unusual reported,44270
R0252,2024-02-21,minor,I018,Mexican,34,chain,McHenry,517,0,,,57624
R0253,2024-10-10,pass,I077,Mediterranean,69,chain,Lake,93,0,,minor signage issue noted on previous visit,61750
R0254,2024-05-02,pass,I064,Seafood,30,independent,Lake,123,0,,,62077
R0255,2024-06-11,pass,I017,Seafood,89,chain,Peoria,185,1,,no complaints filed in past 90 days,98203
R0256,2024-02-04,critical,I002,Mediterranean,43,independent,Cook,752,0,,evidence of pest activity in dry storage,36935
R0257,2024-07-31,minor,I055,Seafood,97,independent,Will,475,0,Yes,routine check; nothing unusual reported,74619
R0258,2024-10-27,minor,I082,Mexican,56,chain,Kendall,321,0,No,manager certificate expired (renewing),28000
R0259,2024-11-09,minor,I078,American,39,independent,DuPage,640,0,Yes,routine check; nothing unusual reported,90038
R0260,2024-05-12,pass,I022,BBQ,134,independent,Will,355,2,,manager certificate expired (renewing),51035
R0261,2024-09-25,pass,I009,Mediterranean,49,independent,Winnebago,135,0,,,33539
R0262,2024-05-10,critical,I014,Mexican,60,independent,Peoria,721,0,No,raw chicken stored above ready-to-eat foods,62702
R0263,2024-03-17,pass,I023,American,8,chain,Lake,234,0,,,58751
R0264,2024-07-09,pass,I016,Cafe,32,independent,Kane,401,0,,,88120
R0265,2024-05-24,minor,I040,BBQ,93,chain,Lake,467,0,,manager certificate expired (renewing),60926
R0266,2024-09-09,minor,I026,Cafe,33,independent,Kane,549,0,,no complaints filed in past 90 days,62905
R0267,2024-01-05,minor,I043,American,61,chain,DuPage,190,0,,no complaints filed in past 90 days,28000
R0268,2024-03-13,critical,I036,Mexican,103,independent,Lake,539,1,,,45972
R0269,2024-02-13,pass,I075,Mexican,10,chain,DuPage,356,0,Yes,manager certificate expired (renewing),63420
R0270,2024-07-20,pass,I042,BBQ,87,chain,Will,409,0,,,114469
R0271,2024-02-24,pass,I022,Bakery,25,chain,Lake,403,0,,,67750
R0272,2024-06-04,minor,I078,American,47,independent,McHenry,534,3,,minor signage issue noted on previous visit,89833
R0273,2024-06-02,pass,I034,Asian,94,chain,Peoria,400,1,,,28000
R0274,2024-01-07,pass,I008,Pizza,74,independent,Lake,442,0,,minor signage issue noted on previous visit,43004
R0275,2024-05-12,pass,I010,American,83,chain,Kane,362,0,,,66067
R0276,2024-01-26,pass,I022,Seafood,43,chain,Winnebago,633,0,,,68144
R0277,2024-05-23,pass,I058,Asian,107,independent,Will,419,0,,manager certificate expired (renewing),52654
R0278,2024-08-02,pass,I026,Cafe,61,independent,Peoria,515,1,,no complaints filed in past 90 days,28000
R0279,2024-09-05,pass,I045,Cafe,47,independent,McHenry,493,0,No,,125407
R0280,2024-10-26,pass,I030,Asian,98,independent,Lake,286,1,,manager certificate expired (renewing),47560
R0281,2024-04-22,critical,I074,Seafood,19,independent,Kane,637,0,,expired dairy in walk-in cooler,60451
R0282,2024-12-26,pass,I046,Asian,27,independent,Winnebago,257,0,Yes,,58423
R0283,2024-09-01,pass,I001,BBQ,80,independent,McHenry,305,1,,,72862
R0284,2024-10-27,pass,I019,Mexican,34,chain,DuPage,64,0,No,,99441
R0285,2024-03-21,pass,I056,Bakery,47,chain,Lake,275,1,,,36150
R0286,2024-03-31,pass,I001,Seafood,99,independent,Kane,60,3,,,32262
R0287,2024-09-11,pass,I019,BBQ,59,chain,Kane,232,1,,minor signage issue noted on previous visit,76257
R0288,2024-06-20,pass,I058,American,13,chain,Lake,365,0,Yes,minor signage issue noted on previous visit,70243
R0289,2024-08-12,minor,I054,Asian,90,chain,McHenry,225,0,No,minor signage issue noted on previous visit,68963
